40771,24.5,24.67,24.26,24.26,1100,22.16,65641680,0.02,1083,2978,1.03,0.04
40772,24.25,24.25,23.59,23.74,900,21.68,63448320,0.02,850,2978,1.01,0.04
40773,24.3,24.3,23.5,23.71,400,21.66,63321780,0.02,309,2978,1.01,0.04
40774,23.54,23.54,22.55,22.92,2900,20.94,59989560,0.02,2822,2978,0.97,0.04
40777,22.92,22.92,22.92,22.92,0,20.94,59989560,0.02,2822,2978,0.97,0.04
40778,23.16,23.16,23.16,23.16,100,21.15,61001880,0.02,100,2978,0.98,0.04
40779,23,23,22.5,22.83,1800,20.85,59609940,0.02,1722,2561,0.97,0.04
40780,23,23.24,22.8,23.15,2500,21.15,60959700,0.02,2465,2561,0.98,0.04
40781,23.2,23.2,22.71,22.85,1600,20.87,59694300,0.02,1585,2561,0.97,0.04
40784,23.12,23.78,22.71,23.21,8400,21.2,61212780,0.02,8325,2561,0.99,0.04
40785,23.21,23.21,23.21,23.21,0,21.2,61212780,0.02,8325,2561,0.99,0.04
40786,23.23,23.5,23.2,23.47,1100,21.44,62292588,0.02,1101,2561,1,0.04
40787,23.5,23.92,23.11,23.11,3300,21.11,60790980,0.02,3300,2561,0.98,0.04
40788,23.67,23.67,22.7,22.7,400,20.73,59061600,0.02,391,2561,0.96,0.04
40792,22.72,22.72,21,21.43,3600,19.57,53704740,0.03,3520,2561,0.91,0.03
40793,21.64,23.52,21.64,22.85,11400,20.87,59694300,0.02,11327,2561,0.97,0.04
40794,22.69,23.41,22.57,23.41,2700,21.38,62056380,0.02,2607,2561,0.99,0.04
40795,23.24,23.24,22.15,22.6,1100,20.64,58622928,0.02,1100,2561,0.96,0.04
40798,21.95,22.75,21.9,22.75,900,20.78,59272500,0.02,865,1834,0.97,0.04
40799,22.88,22.88,22.34,22.71,1800,20.74,59103780,0.02,1800,1834,0.96,0.04
40800,22.99,23.51,22.99,23,1800,21.01,60327000,0.02,1800,1834,0.98,0.04
40801,23.52,23.59,23.07,23.07,1300,21.07,60622260,0.02,1278,1834,0.98,0.04
40802,23.02,23.02,22.86,22.86,1000,20.88,59728044,0.02,915,1834,0.97,0.04
40805,22.13,22.36,21.63,21.66,600,19.78,54674880,0.02,600,1834,0.92,0.03
40806,21.76,23.12,21.63,22,4400,20.09,56109000,0.02,4400,1834,0.93,0.03
40807,21.98,23.32,21.68,21.68,6200,19.8,54759240,0.02,6112,1834,0.92,0.03
40808,21.52,21.94,19.9,21,5000,19.18,51891421,0.03,4972,1834,0.89,0.03
40809,20.97,21.1,20.6,20.6,4000,18.82,50203800,0.03,4000,1834,0.87,0.03
40812,20.51,21,20.51,20.73,2800,18.93,50752140,0.03,2800,2193,0.88,0.03
40813,20.98,21.6,19.23,20.49,7500,18.72,49718730,0.03,7470,2193,0.87,0.03
40814,20.9,20.9,19.91,19.91,300,18.19,47293380,0.03,300,2193,0.85,0.03
40815,20.19,20.19,19.23,19.65,21300,17.95,46196700,0.03,21231,2193,0.83,0.03
40816,20.07,20.3,18.73,20.1,10400,18.36,48094800,0.03,10365,2193,0.85,0.03
40819,19.55,20.01,19.03,19.82,3800,18.1,46913760,0.03,3731,2193,0.84,0.03
40820,19.71,20.75,18.9,20.13,14600,18.39,48221340,0.03,14576,2193,0.85,0.03
40821,19.6,21.2,19.15,19.35,11900,17.67,44931300,0.03,11837,2193,0.82,0.03
40822,19.86,20.12,19.12,19.93,2100,18.2,47377740,0.03,2040,2193,0.85,0.03
40823,19.77,19.77,19.5,19.5,1300,17.81,45564000,0.03,1300,2193,0.83,0.03
40826,19.4,20.5,19.4,20.2,5700,18.45,48516600,0.03,5628,2193,0.86,0.03
40827,20.09,21.06,19.94,19.94,1200,18.21,47419920,0.03,1107,1337,0.85,0.03
40828,20.48,20.55,19.85,20.21,2300,18.46,48558780,0.03,2269,1337,0.86,0.03
40829,20.25,21.4,20.25,21.13,5400,19.3,52439340,0.03,5337,1337,0.9,0.03
40830,21.2,21.72,20.21,20.88,7100,19.07,51384840,0.03,7017,1337,0.89,0.03
40833,21.06,22,20.07,21.15,13600,19.32,52523700,0.03,13521,1337,0.9,0.03
40834,21.62,23.1,21.58,21.59,8300,19.72,54379620,0.03,8228,1337,0.92,0.03
40835,21.68,21.98,20.64,21.9,2700,20,55687200,0.02,2670,1337,0.93,0.03
40836,21.94,21.94,21.64,21.75,4800,19.87,55054500,0.02,4800,1337,0.92,0.03
40837,22,23.5,21.94,21.94,14900,20.04,55855920,0.02,14811,1337,0.93,0.03
40840,22.3,23.2,21.94,22.51,1600,20.56,58260180,0.02,1511,1337,0.96,0.04
40841,21.29,22.39,21.29,22,2000,20.09,56109000,0.02,1919,1337,0.93,0.03
40842,22.75,22.75,22.05,22.39,1800,20.45,57754020,0.02,1800,2379,0.95,0.04
40843,23.51,23.75,22.68,23,5500,21.01,60327000,0.02,5475,2379,0.98,0.04
40844,23,24,22.88,23.5,2700,21.46,62436000,0.02,2640,2379,1,0.04
40847,23.99,23.99,23.1,23.7,2400,21.65,63279600,0.02,2345,2379,1.01,0.04
40848,23.25,23.58,22.9,22.9,4100,20.92,59905200,0.02,4011,2379,0.97,0.04
40849,23.73,23.73,23.37,23.45,700,21.42,62225100,0.02,677,2379,1,0.04
40850,23.38,24,23.38,23.62,1100,21.57,62942160,0.02,1020,2379,1,0.04
40851,23.09,23.65,20.15,20.15,46900,18.41,48305700,0.03,46804,2379,0.86,0.03
40854,20.15,20.97,20.15,20.63,9300,18.84,50330340,0.03,9292,2379,0.88,0.03
40855,21.47,22,21.43,21.88,6400,19.99,55602840,0.02,6320,2379,0.93,0.03
40856,21.82,22.2,20.36,20.9,7300,19.09,51469200,0.03,7209,2074,0.89,0.03
40857,21.2,24,21.2,24,10100,21.92,51672000,0.02,10013,2074,0.93,0.03
40858,23.85,24.02,23,23.52,12000,21.48,49647360,0.02,11988,2074,0.92,0.03
40861,22.95,24.05,22.92,24.05,9200,21.97,48323900,0.02,9104,2074,0.94,0.03
40862,23.63,24.94,23.49,24.91,22400,22.75,51951380,0.02,22387,2074,0.97,0.04
40863,24.53,26.25,24.53,25.75,9200,23.52,55494500,0.02,9191,2074,1,0.04
40864,25.76,26.25,24.7,25.49,8700,23.28,54397820,0.02,8681,2074,0.99,0.04
40865,25.4,25.84,25.02,25.08,5800,22.91,52668440,0.02,5756,2074,0.98,0.04
40868,25.08,25.6,24,24.96,23900,22.8,52162280,0.02,23808,2074,0.97,0.04
40869,24.55,25.47,24.55,25.13,3100,22.95,52879340,0.02,3054,2074,0.98,0.04
40870,24.96,25.8,24.3,25.25,13600,23.06,53385500,0.02,13524,2074,0.98,0.04
40872,25.14,25.95,25.14,25.95,2200,23.7,56338100,0.02,2109,2074,1.01,0.04
