40683.00,94.55,94.65,93.13,93.56,3486900.00,82.45,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding
40751.00,89.69,89.72,87.75,88.08,6658400.00,77.62,6658356.00,63571930880.00,7532547.00,2.19,3.52,0.02,0.01
40752.00,88.19,88.72,87.41,87.57,4285900.00,77.17,4285864.00,63210067520.00,7532547.00,2.17,3.50,0.03,0.01
40753.00,86.94,87.71,86.60,87.14,4883800.00,76.79,4888184.00,62904967040.00,7532547.00,2.16,3.48,0.03,0.01
40756.00,87.98,88.17,85.54,86.77,5997600.00,76.47,5997900.00,62642438720.00,7532547.00,2.15,3.47,0.03,0.01
40757.00,85.67,87.25,85.25,85.27,6406300.00,75.15,6407146.00,61578134720.00,7532547.00,2.12,3.41,0.03,0.01
40758.00,85.56,86.45,84.82,86.18,6277000.00,75.95,6276942.00,62223812480.00,7532547.00,2.14,3.45,0.03,0.01
40759.00,85.07,85.07,82.11,82.23,9061600.00,72.47,9061689.00,59833145280.00,7532547.00,2.04,3.37,0.03,0.01
40760.00,83.44,84.22,81.24,82.75,8453100.00,72.93,8454618.00,60202104000.00,7532547.00,2.05,3.39,0.03,0.01
40763.00,80.75,81.37,78.53,78.59,11496200.00,69.26,11496490.00,57250434240.00,7532547.00,1.95,3.22,0.03,0.01
40764.00,80.23,82.86,78.06,82.69,12008400.00,72.87,12008330.00,60159531840.00,7789451.00,2.05,3.39,0.03,0.01
40765.00,81.00,81.22,78.01,78.23,9377400.00,68.94,9377395.00,56995001280.00,7789451.00,1.94,3.20,0.03,0.01
40766.00,78.69,82.36,78.29,81.22,7142300.00,71.58,7142235.00,59116513920.00,7789451.00,2.02,3.33,0.03,0.01
40767.00,81.89,82.76,80.80,82.54,5718100.00,72.74,5718059.00,60053101440.00,7789451.00,2.05,3.38,0.03,0.01
40770.00,82.66,83.66,81.97,83.31,4157200.00,73.42,4157195.00,60599444160.00,7789451.00,2.07,3.41,0.03,0.01
40771.00,82.53,82.68,81.05,82.13,5078200.00,72.38,5078274.00,59762191680.00,7789451.00,2.04,3.36,0.03,0.01
40772.00,82.19,83.03,80.58,80.93,5429400.00,71.80,5429400.00,58910748480.00,7789451.00,2.01,3.31,0.03,0.01
40773.00,79.83,80.02,76.74,77.42,8546300.00,68.69,8546227.00,56420277120.00,7789451.00,1.92,3.17,0.03,0.01
40774.00,76.65,78.82,76.60,76.87,6151600.00,68.20,6151853.00,56030032320.00,7789451.00,1.91,3.15,0.03,0.01
40777.00,78.34,78.52,76.50,76.95,4434200.00,68.27,4434716.00,56086795200.00,7789451.00,1.91,3.15,0.03,0.01
40778.00,77.17,79.81,76.87,79.67,5819100.00,70.68,5819100.00,58016733120.00,7789451.00,1.98,3.26,0.03,0.01
40779.00,79.40,80.45,78.85,80.29,5176800.00,71.23,5176759.00,58456645440.00,10031137.00,1.99,3.29,0.03,0.01
40780.00,80.45,80.65,77.79,78.19,6604500.00,69.37,6605758.00,56966619840.00,10031137.00,1.94,3.20,0.03,0.01
40781.00,77.73,80.26,76.50,80.01,5390000.00,70.99,5389981.00,58257975360.00,10031137.00,1.99,3.28,0.03,0.01
40784.00,81.30,82.23,80.90,82.10,3467000.00,72.84,3466934.00,59740905600.00,10031137.00,2.04,3.36,0.03,0.01
40785.00,81.68,82.61,80.71,82.07,3734200.00,72.81,3734193.00,59719619520.00,10031137.00,2.04,3.36,0.03,0.01
40786.00,82.70,83.37,82.20,82.98,4737700.00,73.62,4737646.00,60365297280.00,10031137.00,2.06,3.40,0.03,0.01
40787.00,83.02,83.95,81.28,81.61,4535400.00,72.41,4535312.00,59393232960.00,10031137.00,2.03,3.34,0.03,0.01
40788.00,80.02,80.33,78.92,79.35,4391300.00,70.40,4391281.00,57789681600.00,10031137.00,1.97,3.25,0.03,0.01
40792.00,77.44,78.26,76.70,78.08,5271200.00,69.27,5271141.00,56888570880.00,10031137.00,1.94,3.20,0.03,0.01
