40683.00,94.55,94.65,93.13,93.56,3486900.00,82.45,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding
40956.00,87.99,88.15,87.48,87.56,2834600.00,78.76,2834514.00,62821272640.00,6686062.00,2.05,3.95,0.03,0.01
40960.00,87.74,88.05,87.40,87.60,2406700.00,78.80,2406695.00,62849054400.00,6686062.00,2.05,3.95,0.03,0.01
40961.00,87.65,88.09,87.45,87.76,2650000.00,78.94,2650082.00,62960181440.00,6686062.00,2.06,3.96,0.03,0.01
40962.00,87.88,88.18,87.27,87.90,3531300.00,79.07,3531277.00,63057417600.00,6686062.00,2.06,3.96,0.03,0.01
40963.00,88.04,88.46,87.88,88.20,2524800.00,79.34,2524734.00,63265780800.00,6686062.00,2.07,3.98,0.03,0.01
40966.00,87.41,88.32,87.10,88.07,3012900.00,79.22,3012875.00,63175490080.00,6902877.00,2.07,3.97,0.03,0.01
40967.00,87.83,88.20,87.23,87.77,2497700.00,78.95,2497619.00,62967126880.00,6902877.00,2.06,3.96,0.03,0.01
40968.00,88.14,88.32,87.25,87.60,3277700.00,78.80,3277808.00,62849054400.00,6902877.00,2.05,3.95,0.03,0.01
40969.00,87.72,88.22,87.17,87.49,2525200.00,78.70,2525767.00,62772654560.00,6902877.00,2.05,3.94,0.03,0.01
40970.00,87.47,87.57,87.04,87.52,2820500.00,78.73,2820548.00,62793490880.00,6902877.00,2.05,3.94,0.03,0.01
40973.00,87.40,87.45,86.38,87.06,2701900.00,78.31,2701884.00,62474000640.00,6902877.00,2.04,3.92,0.03,0.01
40974.00,85.72,85.86,84.83,84.95,3547900.00,76.41,3547841.00,61008512800.00,6902877.00,1.99,3.83,0.03,0.01
40975.00,85.24,85.67,84.88,85.47,3150800.00,76.88,3150801.00,61369675680.00,6902877.00,2.00,3.85,0.03,0.01
40976.00,86.06,86.93,85.98,86.71,2603200.00,78.00,2603177.00,62230910240.00,6902877.00,2.03,3.91,0.03,0.01
40977.00,86.81,87.27,86.65,86.80,1958300.00,78.08,1958244.00,62293419200.00,6552632.00,2.04,3.91,0.03,0.01
40980.00,87.10,87.75,86.96,87.54,2049300.00,78.74,2049292.00,62807381760.00,6552632.00,2.05,3.95,0.03,0.01
40981.00,87.76,88.77,87.51,88.75,3107100.00,79.83,3107053.00,63647780000.00,6552632.00,2.08,4.00,0.03,0.01
40982.00,88.60,89.25,88.60,88.87,2960900.00,79.94,2960892.00,63731125280.00,6552632.00,2.08,4.01,0.03,0.01
40983.00,89.00,90.00,88.82,90.00,3252200.00,80.96,3252131.00,64515960000.00,6552632.00,2.11,4.06,0.03,0.01
40984.00,89.88,90.00,89.37,89.56,5007100.00,80.56,5007257.00,64210360640.00,6552632.00,2.10,4.04,0.03,0.01
40987.00,89.52,89.90,89.20,89.74,2585400.00,80.72,2585377.00,64335378560.00,6552632.00,2.10,4.04,0.03,0.01
40988.00,89.17,89.73,88.75,89.35,2485300.00,80.37,2485264.00,64064506400.00,6552632.00,2.10,4.03,0.03,0.01
40989.00,89.42,89.64,88.80,88.91,2433800.00,79.98,2434153.00,63758907040.00,6552632.00,2.09,4.01,0.03,0.01
40990.00,88.50,88.78,87.72,88.57,3064200.00,79.67,3064169.00,63539856090.00,6552632.00,2.08,3.99,0.03,0.01
40991.00,88.63,88.67,88.02,88.46,2326100.00,79.57,2326704.00,63463435020.00,6552632.00,2.08,3.99,0.03,0.01
40994.00,88.92,89.35,88.60,89.12,2572500.00,80.17,2572414.00,63921961440.00,6689366.00,2.09,4.02,0.03,0.01
40995.00,89.38,89.42,88.93,89.14,2308400.00,80.18,2308363.00,63935856180.00,6689366.00,2.09,4.02,0.03,0.01
40996.00,89.29,89.61,88.04,88.45,2289600.00,79.56,2289893.00,63456487650.00,6689366.00,2.08,3.99,0.03,0.01
40997.00,87.88,88.82,87.72,88.77,2207100.00,79.85,2207090.00,63678803490.00,6689366.00,2.08,4.00,0.03,0.01
40998.00,89.22,89.29,88.76,89.21,2471800.00,80.25,2471794.00,63984487770.00,6689366.00,2.09,4.02,0.03,0.01
41001.00,88.79,89.36,88.05,89.23,2640900.00,80.26,2640893.00,63998382510.00,6689366.00,2.09,4.02,0.03,0.01
41002.00,89.22,89.22,88.20,88.79,2298400.00,79.87,2298379.00,63692698230.00,6689366.00,2.08,4.00,0.03,0.01
41003.00,87.98,88.05,87.15,87.84,2392700.00,79.01,2392645.00,63032698080.00,6689366.00,2.06,3.96,0.03,0.01
41004.00,87.36,87.79,86.97,87.27,2048400.00,78.50,2048367.00,62636697990.00,6689366.00,2.05,3.93,0.03,0.01
41008.00,86.24,86.77,85.90,86.33,1932700.00,77.66,1932610.00,61983645210.00,6689366.00,2.03,3.89,0.03,0.01
41009.00,86.19,86.40,84.44,84.58,3651000.00,76.08,3650923.00,60767855460.00,6689366.00,1.98,3.81,0.03,0.01
41010.00,85.36,85.69,85.12,85.35,2527700.00,76.77,2527663.00,61302802950.00,6374813.00,2.00,3.85,0.03,0.01
41011.00,85.71,86.93,85.08,86.86,2476000.00,78.13,2475912.00,62351855820.00,6374813.00,2.04,3.91,0.03,0.01
41012.00,86.49,86.59,85.57,85.69,2609700.00,77.08,2609608.00,61539013530.00,6374813.00,2.01,3.86,0.03,0.01
41015.00,86.04,86.93,85.92,86.40,3060200.00,77.72,3060302.00,62032276800.00,6374813.00,2.03,3.89,0.03,0.01
41016.00,86.70,87.67,86.66,87.45,2354200.00,78.66,2354160.00,62761750650.00,6374813.00,2.05,3.94,0.03,0.01
41017.00,86.90,87.63,86.69,87.13,1781600.00,78.38,1781565.00,62539434810.00,6374813.00,2.04,3.93,0.03,0.01
41018.00,87.19,87.55,86.13,86.80,2565000.00,78.08,2564935.00,62310171600.00,6374813.00,2.04,3.91,0.03,0.01
41019.00,86.99,87.80,86.91,87.48,3177200.00,78.69,3177202.00,62782592760.00,6374813.00,2.05,3.94,0.03,0.01
41022.00,86.52,87.24,86.02,87.13,2769900.00,78.38,2770292.00,62539434810.00,6374813.00,2.04,3.93,0.03,0.01
41023.00,89.33,89.75,88.38,88.49,5701200.00,79.60,5701767.00,62920277130.00,6612102.00,2.06,3.69,0.03,0.01
41024.00,88.98,89.26,88.50,88.80,2962900.00,79.88,2962855.00,63058833600.00,6612102.00,2.07,3.71,0.03,0.01
41025.00,88.60,89.56,88.51,89.32,2750900.00,80.35,2751189.00,63419647040.00,6612102.00,2.08,3.73,0.03,0.01
41026.00,89.41,89.54,88.75,89.36,2618000.00,80.38,2521357.00,63447401920.00,6612102.00,2.08,3.73,0.03,0.01
41029.00,89.25,89.46,88.72,89.36,2072900.00,80.38,2072860.00,63447401920.00,6612102.00,2.08,3.73,0.03,0.01
41030.00,89.13,89.95,88.74,89.60,2294200.00,80.60,2294512.00,63613931200.00,6612102.00,2.09,3.74,0.03,0.01
41031.00,89.16,89.59,88.89,89.52,2100200.00,80.52,2100173.00,63558421440.00,6612102.00,2.09,3.74,0.03,0.01
41032.00,89.50,89.85,89.11,89.39,2343600.00,80.41,2343521.00,63905218080.00,6612102.00,2.08,3.83,0.03,0.01
41033.00,89.17,89.24,88.30,88.67,2823800.00,79.76,2823788.00,63405630240.00,6612102.00,2.07,3.80,0.03,0.01
41036.00,87.70,88.62,87.70,88.01,2753500.00,79.17,2753418.00,62947674720.00,6612102.00,2.05,3.77,0.03,0.01
41037.00,87.12,87.88,86.30,87.56,2710400.00,78.76,2710516.00,62635432320.00,6612102.00,2.04,3.75,0.03,0.01
41038.00,86.64,87.84,85.98,87.27,3192800.00,78.50,3193230.00,62434209440.00,6322742.00,2.03,3.74,0.03,0.01
41039.00,87.14,87.69,86.88,87.13,2828500.00,78.38,2828485.00,62337067360.00,6322742.00,2.03,3.74,0.03,0.01
41040.00,86.47,87.48,86.24,86.73,2601800.00,78.02,2601738.00,62059518560.00,6322742.00,2.02,3.72,0.03,0.01
41043.00,85.46,86.55,85.24,85.83,2631900.00,77.21,2631858.00,61435033760.00,6322742.00,2.00,3.68,0.03,0.01
41044.00,85.95,86.46,85.50,85.78,2611300.00,77.16,2611263.00,61400340160.00,6322742.00,2.00,3.68,0.03,0.01
41045.00,85.91,86.27,85.26,85.35,2770600.00,77.31,2770561.00,61101975200.00,6322742.00,1.99,3.66,0.03,0.01
41046.00,85.56,85.64,84.25,84.34,2777200.00,76.39,2777178.00,60401164480.00,6322742.00,1.96,3.62,0.03,0.01
41047.00,84.78,84.78,83.27,83.51,3602900.00,75.64,3602884.00,59825250720.00,6322742.00,1.95,3.58,0.03,0.01
41050.00,83.88,84.63,83.75,84.46,2450000.00,76.50,2450333.00,60484429120.00,6322742.00,1.97,3.62,0.03,0.01
41051.00,84.69,84.99,83.68,84.13,3000900.00,76.20,3000899.00,60255451360.00,6322742.00,1.96,3.61,0.03,0.01
41052.00,83.37,84.88,82.95,84.80,3200000.00,76.81,3207695.00,60720345600.00,6322742.00,1.98,3.64,0.03,0.01
41053.00,84.96,85.00,84.03,84.98,2322100.00,76.97,2322017.00,60845242560.00,6322742.00,1.98,3.64,0.03,0.01
41054.00,84.87,85.20,84.40,84.78,2346000.00,76.79,2346446.00,60706468160.00,6322742.00,1.97,3.64,0.03,0.01
41058.00,85.38,86.00,85.13,85.73,2142200.00,77.65,2142237.00,61365646560.00,6831145.00,2.00,3.68,0.03,0.01
41059.00,85.06,85.12,84.10,84.45,2697100.00,76.49,2697071.00,60477490400.00,6831145.00,1.97,3.62,0.03,0.01
41060.00,84.45,85.05,83.87,84.41,3683200.00,76.45,3688899.00,60449735520.00,6831145.00,1.97,3.62,0.03,0.01
41061.00,83.05,83.98,82.72,82.85,3539200.00,75.04,3539628.00,59367295200.00,6831145.00,1.93,3.55,0.03,0.01
41064.00,82.79,82.99,81.99,82.62,2899900.00,74.83,2899823.00,59207704640.00,6831145.00,1.92,3.54,0.03,0.01
41065.00,82.59,82.86,82.25,82.51,3268700.00,74.73,3268965.00,59131378720.00,6831145.00,1.92,3.54,0.03,0.01
41066.00,83.22,84.64,83.03,84.63,2776300.00,76.65,2785879.00,60602387360.00,6831145.00,1.97,3.63,0.03,0.01
41067.00,85.59,86.19,85.33,85.50,3032400.00,77.44,3032459.00,61206056000.00,6831145.00,1.99,3.67,0.03,0.01
41068.00,85.18,86.09,84.99,86.00,2146200.00,77.89,2146138.00,61552992000.00,6831145.00,2.00,3.69,0.03,0.01
41071.00,86.54,86.54,85.08,85.18,2098200.00,77.15,2098182.00,60984016960.00,6687484.00,1.98,3.65,0.03,0.01
41072.00,85.67,86.74,85.22,86.73,2570900.00,78.56,2570804.00,62059518560.00,6687484.00,2.02,3.72,0.03,0.01
41073.00,86.30,86.80,85.72,86.13,2661900.00,78.01,2661862.00,61643195360.00,6687484.00,2.01,3.69,0.03,0.01
41074.00,86.31,87.23,86.06,86.86,3334900.00,78.67,3334881.00,62149721920.00,6687484.00,2.02,3.72,0.03,0.01
41075.00,87.57,87.91,87.01,87.44,4696100.00,79.20,4698585.00,62552167680.00,6687484.00,2.04,3.75,0.03,0.01
41078.00,87.07,87.61,86.67,87.31,2950600.00,79.08,2950508.00,62461964320.00,6687484.00,2.03,3.74,0.03,0.01
41079.00,87.82,88.17,87.52,87.82,3212500.00,79.54,3212441.00,62815839040.00,6687484.00,2.05,3.77,0.03,0.01
41080.00,87.93,88.28,87.35,87.54,3446800.00,79.29,3446898.00,62621554880.00,6687484.00,2.04,3.75,0.03,0.01
41081.00,88.04,88.38,86.62,86.73,3722800.00,78.56,3722791.00,62059518560.00,6687484.00,2.02,3.72,0.03,0.01
41082.00,87.11,87.14,86.38,86.83,3026000.00,78.65,3035373.00,62128905760.00,6687484.00,2.02,3.72,0.03,0.01
41085.00,85.87,86.31,85.46,85.85,2908900.00,77.76,2908851.00,61448911200.00,6687484.00,2.00,3.68,0.03,0.01
41086.00,85.91,86.47,85.29,86.18,2389100.00,78.06,2389085.00,61677888960.00,7325518.00,2.01,3.70,0.03,0.01
41087.00,86.39,87.60,86.24,87.16,2887800.00,78.95,2887799.00,62357883520.00,7325518.00,2.03,3.74,0.03,0.01
41088.00,86.36,87.25,85.98,87.16,3267100.00,78.95,3267026.00,62357883520.00,7325518.00,2.03,3.74,0.03,0.01
41089.00,88.62,89.60,88.35,89.60,4629400.00,81.16,4629577.00,64050931200.00,7325518.00,2.09,3.84,0.03,0.01
41092.00,89.29,89.69,88.28,89.28,2289700.00,80.87,2291075.00,63828892160.00,7325518.00,2.08,3.83,0.03,0.01
41093.00,89.11,89.75,89.08,89.70,1410400.00,81.25,1410302.00,64120318400.00,7325518.00,2.09,3.85,0.03,0.01
41095.00,89.20,89.95,88.86,89.57,1924800.00,81.13,1924707.00,64030115040.00,7325518.00,2.09,3.84,0.03,0.01
41096.00,88.81,89.38,88.35,88.99,2192900.00,80.60,2192891.00,63627669280.00,7325518.00,2.07,3.82,0.03,0.01
41099.00,88.86,89.08,88.31,88.96,2600900.00,80.58,2600821.00,63606853120.00,7325518.00,2.07,3.81,0.03,0.01
41100.00,89.08,89.82,87.96,88.25,3356800.00,79.93,3356780.00,63114204000.00,7325518.00,2.06,3.78,0.03,0.01
41101.00,88.38,88.76,87.01,87.85,4208600.00,79.57,4208576.00,62836655200.00,6776684.00,2.05,3.77,0.03,0.01
41102.00,86.60,86.97,85.34,86.41,4938300.00,78.27,4938263.00,61837479520.00,6776684.00,2.01,3.71,0.03,0.01
41103.00,86.32,87.83,86.32,87.59,2599300.00,79.33,2599336.00,62656248480.00,6776684.00,2.04,3.76,0.03,0.01
41106.00,88.12,88.65,87.77,88.10,2848100.00,79.80,2848066.00,63010123200.00,6776684.00,2.05,3.78,0.03,0.01
41107.00,88.25,89.35,87.55,88.98,3078500.00,80.59,3078404.00,63620730560.00,6776684.00,2.07,3.82,0.03,0.01
41108.00,88.75,90.99,88.56,90.87,4273300.00,82.31,4273227.00,64932148640.00,6776684.00,2.12,3.90,0.03,0.01
41109.00,90.87,91.20,90.40,90.83,3355100.00,82.27,3355083.00,64904393760.00,6776684.00,2.12,3.89,0.03,0.01
41110.00,90.18,90.49,89.84,89.99,3024800.00,81.51,3028175.00,64321541280.00,6776684.00,2.10,3.86,0.03,0.01
41113.00,88.44,89.56,87.78,89.36,2434800.00,80.94,2434748.00,63884401920.00,6776684.00,2.08,3.83,0.03,0.01
41114.00,89.28,89.51,87.58,88.24,2850400.00,79.92,2850342.00,63107265280.00,8057425.00,2.06,3.78,0.03,0.01
41115.00,88.69,89.16,87.96,88.75,3541200.00,80.39,3541600.00,63461140000.00,8057425.00,2.07,3.81,0.03,0.01
41116.00,90.00,92.00,89.53,90.59,4759400.00,82.05,4759333.00,64261864480.00,8057425.00,2.12,3.71,0.03,0.01
41117.00,90.94,92.08,90.66,91.71,3915400.00,83.07,3915359.00,64804865490.00,8057425.00,2.14,3.76,0.03,0.01
41120.00,91.41,91.95,90.91,91.28,2714900.00,82.68,2714837.00,64507598320.00,8057425.00,2.13,3.74,0.03,0.01
41121.00,91.00,91.66,90.87,91.23,2720200.00,82.63,2720187.00,64473032370.00,8057425.00,2.13,3.74,0.03,0.01
41122.00,91.65,91.80,90.61,91.20,2149700.00,82.60,2150123.00,64452292800.00,8057425.00,2.13,3.74,0.03,0.01
41123.00,90.11,90.73,89.23,90.08,2949800.00,81.59,2949706.00,64145015520.00,8057425.00,2.10,3.80,0.03,0.01
41124.00,91.03,91.79,91.01,91.70,2713500.00,83.06,2713432.00,65264952300.00,8057425.00,2.14,3.86,0.03,0.01
41127.00,92.00,92.34,91.41,91.41,1858500.00,82.79,1858441.00,65064469790.00,8057425.00,2.13,3.85,0.03,0.01
41128.00,91.70,92.31,91.62,91.70,1764800.00,83.06,1764759.00,65264952300.00,8057425.00,2.14,3.86,0.03,0.01
41129.00,91.48,92.08,91.25,91.63,2022300.00,82.99,2022292.00,65216559970.00,8057425.00,2.14,3.86,0.03,0.01
41130.00,91.50,92.07,91.33,91.59,1834900.00,82.96,1834838.00,65188907210.00,8003504.00,2.14,3.86,0.03,0.01
41131.00,91.37,92.30,90.95,92.29,1755100.00,83.59,1755017.00,65672830510.00,8003504.00,2.15,3.89,0.03,0.01
41134.00,92.29,92.59,91.74,92.40,2075400.00,83.69,2075391.00,65748875600.00,8003504.00,2.16,3.89,0.03,0.01
41135.00,92.36,92.50,92.01,92.30,1843500.00,83.60,1843476.00,65679743700.00,8003504.00,2.15,3.89,0.03,0.01
41136.00,92.00,92.74,91.94,92.54,1983400.00,83.82,1983395.00,65845660260.00,8003504.00,2.16,3.90,0.03,0.01
41137.00,92.75,93.87,92.21,93.74,3395200.00,84.90,3395145.00,66675243060.00,8003504.00,2.19,3.95,0.03,0.01
41138.00,93.93,94.30,93.59,94.24,3069600.00,85.36,3069513.00,67020902560.00,8003504.00,2.20,3.97,0.03,0.01
41141.00,94.00,94.17,93.55,93.89,1639500.00,85.04,1640008.00,66778940910.00,8003504.00,2.19,3.96,0.03,0.01
41142.00,93.98,94.10,92.99,93.21,2302800.00,84.42,2302988.00,66308843990.00,8003504.00,2.17,3.93,0.03,0.01
41143.00,92.56,93.36,92.43,92.68,2464000.00,84.48,2463908.00,65942444920.00,8003504.00,2.16,3.91,0.03,0.01
41144.00,92.65,92.68,91.79,91.98,1823500.00,83.84,1823757.00,65458521620.00,8003504.00,2.15,3.88,0.03,0.01
41145.00,92.03,92.97,91.94,92.83,1945800.00,84.62,1945796.00,66046142770.00,8577128.00,2.17,3.91,0.03,0.01
41148.00,92.92,92.97,92.40,92.59,1880000.00,84.40,1879969.00,65880226210.00,8577128.00,2.16,3.90,0.03,0.01
41149.00,92.36,92.77,92.20,92.30,1913000.00,84.13,1913066.00,65679743700.00,8577128.00,2.15,3.89,0.03,0.01
41150.00,92.50,92.80,92.30,92.43,1736000.00,84.25,1735933.00,65769615170.00,8577128.00,2.16,3.89,0.03,0.01
41151.00,92.05,92.15,91.30,91.76,1729600.00,83.64,1729576.00,65306431440.00,8577128.00,2.14,3.87,0.03,0.01
41152.00,92.44,93.00,91.90,92.60,1917300.00,84.41,1917265.00,65887139400.00,8577128.00,2.16,3.90,0.03,0.01
41156.00,92.03,92.33,91.10,91.68,2532300.00,83.57,2532261.00,65251125920.00,8577128.00,2.14,3.86,0.03,0.01
41157.00,91.92,91.99,91.11,91.75,2985500.00,83.63,2985428.00,65299518250.00,8577128.00,2.14,3.87,0.03,0.01
41158.00,92.37,93.38,92.06,93.28,3223400.00,85.03,3223309.00,66357236320.00,8577128.00,2.18,3.93,0.03,0.01
41159.00,93.38,93.65,92.70,92.82,3215400.00,84.61,3215341.00,66039229580.00,8577128.00,2.16,3.91,0.03,0.01
41162.00,92.27,92.31,90.61,90.67,6356100.00,82.65,6356086.00,64552893730.00,8577128.00,2.11,3.82,0.03,0.01
41163.00,90.73,91.59,90.65,91.17,2403400.00,83.10,2403421.00,64898553230.00,8577128.00,2.13,3.84,0.03,0.01
41164.00,91.60,91.66,90.46,90.81,2409600.00,82.78,2409574.00,64649678390.00,9183243.00,2.12,3.83,0.03,0.01
41165.00,90.92,92.43,90.46,92.06,2729300.00,83.91,2734203.00,65513827140.00,9183243.00,2.15,3.88,0.03,0.01
41166.00,92.86,93.98,92.56,93.98,4993000.00,85.66,4993059.00,66841159620.00,9183243.00,2.19,3.96,0.03,0.01
41169.00,93.66,94.09,93.49,93.78,3290300.00,85.48,3290255.00,66702895820.00,9183243.00,2.19,3.95,0.03,0.01
41170.00,93.78,93.99,93.22,93.43,2477500.00,85.16,2477444.00,66460934170.00,9183243.00,2.18,3.94,0.03,0.01
41171.00,92.88,94.06,92.73,93.63,2723500.00,85.35,2723431.00,66599197970.00,9183243.00,2.18,3.95,0.03,0.01
41172.00,93.20,93.63,92.91,93.58,2075600.00,85.30,2075529.00,66564632020.00,9183243.00,2.18,3.94,0.03,0.01
41173.00,94.06,94.07,92.94,93.21,9547000.00,84.96,9551168.00,66308843990.00,9183243.00,2.17,3.93,0.03,0.01
41176.00,92.85,94.09,92.76,93.73,3037400.00,85.44,3037401.00,66668329870.00,9183243.00,2.19,3.95,0.03,0.01
41177.00,93.95,94.10,92.72,92.83,3800400.00,84.62,3800943.00,66046142770.00,10226596.00,2.17,3.91,0.03,0.01
41178.00,92.88,93.40,92.54,92.59,2612900.00,84.40,2612892.00,65880226210.00,10226596.00,2.16,3.90,0.03,0.01
41179.00,92.89,93.21,91.96,92.82,2081400.00,84.61,2081502.00,66039229580.00,10226596.00,2.16,3.91,0.03,0.01
41180.00,92.47,92.86,91.70,92.42,2559500.00,84.24,2559648.00,65762701980.00,10226596.00,2.16,3.89,0.03,0.01
41183.00,92.90,94.27,92.21,93.29,3900600.00,85.04,3900861.00,66364149510.00,10226596.00,2.18,3.93,0.03,0.01
41184.00,94.23,94.29,93.10,93.54,3602300.00,85.26,3602278.00,66536979260.00,10226596.00,2.18,3.94,0.03,0.01
41185.00,93.81,94.00,93.00,93.78,2610300.00,85.48,2610234.00,66702895820.00,10226596.00,2.19,3.95,0.03,0.01
41186.00,94.05,94.53,93.66,94.43,2531400.00,86.07,2531459.00,67152253170.00,10226596.00,2.20,3.98,0.02,0.01
41187.00,94.74,95.20,94.45,94.96,3663600.00,86.56,3663528.00,67518652240.00,10226596.00,2.21,4.00,0.02,0.01
41190.00,94.55,95.46,94.50,95.37,2607600.00,86.93,2607553.00,67802093030.00,10226596.00,2.22,4.02,0.02,0.01
41191.00,95.29,95.29,93.90,93.94,2989500.00,85.63,2989484.00,66813506860.00,7742490.00,2.19,3.96,0.03,0.01
41192.00,93.95,94.00,93.15,93.28,2561600.00,85.03,2561589.00,66357236320.00,7742490.00,2.18,3.93,0.03,0.01
41193.00,93.86,93.87,92.78,92.83,2429200.00,84.62,2429144.00,66046142770.00,7742490.00,2.17,3.91,0.03,0.01
41194.00,92.95,93.34,92.40,92.75,2566100.00,84.54,2566054.00,65990837250.00,7742490.00,2.16,3.91,0.03,0.01
41197.00,92.71,93.06,92.37,92.79,2916300.00,84.58,2916265.00,66018490010.00,7742490.00,2.16,3.91,0.03,0.01
41198.00,94.02,94.34,93.29,94.23,2857500.00,85.89,2857505.00,67013989370.00,7742490.00,2.20,3.97,0.03,0.01
41199.00,94.94,95.10,94.55,94.81,3191800.00,86.42,3191747.00,67414954390.00,7742490.00,2.21,4.00,0.02,0.01
41200.00,94.68,95.00,94.17,94.74,2538800.00,86.36,2538733.00,67366562060.00,7742490.00,2.21,3.99,0.02,0.01
41201.00,94.61,94.61,92.69,92.94,3804100.00,84.72,3804542.00,66122187860.00,7742490.00,2.17,3.92,0.03,0.01
41204.00,92.41,93.06,91.50,92.53,3130800.00,84.34,3131765.00,65838747070.00,7742490.00,2.16,3.90,0.03,0.01
41205.00,89.67,90.52,88.58,88.73,5866000.00,80.88,5865955.00,62680734870.00,7742490.00,2.07,3.38,0.03,0.01
41206.00,89.03,89.54,88.15,88.39,3321300.00,80.57,3321221.00,62499781090.00,8338520.00,2.07,3.37,0.03,0.01
41207.00,88.57,88.84,87.41,87.81,4613900.00,80.04,4613856.00,62098461110.00,8338520.00,2.05,3.35,0.03,0.01
41208.00,87.90,88.54,87.59,88.03,3592600.00,80.24,3592536.00,62250685930.00,8338520.00,2.06,3.36,0.03,0.01
41213.00,88.03,88.69,87.49,87.60,3360400.00,79.85,3360373.00,61953155600.00,8338520.00,2.05,3.34,0.03,0.01
41214.00,87.94,89.40,87.84,89.25,3306600.00,81.35,3306723.00,63591841750.00,8338520.00,2.09,3.50,0.03,0.01
41215.00,89.61,89.97,88.78,88.97,3051900.00,81.10,3053147.00,63398101070.00,8338520.00,2.08,3.49,0.03,0.01
41218.00,88.08,89.84,88.08,89.60,2387800.00,81.67,2387719.00,63834017600.00,8338520.00,2.09,3.51,0.03,0.01
41219.00,89.95,91.23,89.87,90.86,2806100.00,82.82,2806033.00,64705850660.00,8338520.00,2.12,3.56,0.03,0.01
41220.00,90.34,90.34,88.71,89.38,4593100.00,81.47,4593053.00,63681792780.00,8338520.00,2.09,3.51,0.03,0.01
41221.00,89.11,89.83,88.46,88.55,3005900.00,80.72,3006022.00,63107490050.00,8338520.00,2.07,3.47,0.03,0.01
41222.00,88.60,89.56,88.10,88.81,3176400.00,80.95,3176375.00,63287392110.00,8879429.00,2.08,3.48,0.03,0.01
41225.00,88.96,89.67,88.50,89.18,2220100.00,81.29,2220003.00,63543406580.00,8879429.00,2.08,3.50,0.03,0.01
41226.00,88.60,90.19,88.36,89.08,2985900.00,81.20,2985900.00,63474213480.00,8879429.00,2.08,3.49,0.03,0.01
41227.00,89.17,89.38,87.07,87.31,2882700.00,79.58,2882788.00,62249495610.00,8879429.00,2.04,3.42,0.03,0.01
41228.00,86.74,88.29,86.74,88.02,3291600.00,80.23,3291663.00,62740766620.00,8879429.00,2.06,3.45,0.03,0.01
41229.00,88.12,89.38,87.75,88.50,5237100.00,80.67,5237021.00,63072893500.00,8879429.00,2.07,3.47,0.03,0.01
41232.00,89.25,89.70,88.77,89.57,2688600.00,81.64,2688753.00,63813259670.00,8879429.00,2.09,3.51,0.03,0.01
41233.00,89.08,89.68,88.40,89.02,2035100.00,81.68,2035039.00,63432697620.00,8879429.00,2.08,3.49,0.03,0.01
41234.00,89.08,89.15,88.66,88.94,2011300.00,81.61,2011213.00,63377343140.00,8879429.00,2.08,3.49,0.03,0.01
41236.00,89.29,90.33,89.15,90.28,1101100.00,82.84,1101101.00,64304530680.00,8879429.00,2.11,3.54,0.03,0.01
41239.00,89.54,90.25,89.54,90.09,1910200.00,82.66,1910556.00,64173063790.00,8879429.00,2.11,3.53,0.03,0.01
41240.00,90.19,90.96,90.12,90.31,2504200.00,82.87,2504126.00,64325288610.00,10421974.00,2.11,3.54,0.03,0.02
41241.00,90.10,91.00,89.48,90.93,2426200.00,83.43,2426175.00,64754285830.00,10421974.00,2.13,3.57,0.03,0.02
41242.00,91.35,91.97,90.51,90.65,2364000.00,83.18,2363932.00,64560545150.00,10421974.00,2.12,3.55,0.03,0.02
41243.00,90.68,91.19,90.49,90.95,2284900.00,83.45,2285523.00,64768124450.00,10421974.00,2.13,3.57,0.03,0.02
41246.00,91.41,91.68,90.12,90.30,1929200.00,82.86,1929335.00,64318369300.00,10421974.00,2.11,3.54,0.03,0.02
41247.00,90.31,90.69,90.00,90.12,1969800.00,82.69,1969707.00,64193821720.00,10421974.00,2.11,3.53,0.03,0.02
41248.00,90.30,91.20,89.60,90.76,2996600.00,83.28,2996936.00,64636657560.00,10421974.00,2.12,3.56,0.03,0.02
41249.00,90.80,91.09,90.31,90.95,2027700.00,83.45,2027626.00,64768124450.00,10421974.00,2.13,3.57,0.03,0.02
41250.00,91.24,91.67,90.68,91.51,2476400.00,83.97,2476371.00,65155605810.00,10421974.00,2.14,3.59,0.03,0.02
41253.00,91.37,92.48,91.35,91.87,2847700.00,84.30,2847681.00,65404700970.00,10421974.00,2.15,3.60,0.03,0.02
41254.00,92.65,93.90,92.50,93.68,3821600.00,85.96,3821863.00,66657096080.00,9758896.00,2.19,3.67,0.03,0.01
41255.00,93.72,94.00,92.52,93.12,4064900.00,85.44,4064892.00,66269614720.00,9758896.00,2.18,3.65,0.03,0.01
41256.00,92.95,93.45,92.16,92.50,2621400.00,84.87,2621381.00,65840617500.00,9758896.00,2.16,3.63,0.03,0.01
41257.00,92.00,92.58,92.00,92.28,2709000.00,84.67,2708921.00,65688392680.00,9758896.00,2.16,3.62,0.03,0.01
41260.00,92.39,93.11,92.13,93.03,2750700.00,85.36,2753624.00,66207340930.00,9758896.00,2.17,3.65,0.03,0.01
