Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Dividend Indicated Yld - Gross,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Price Earnings Ratio,Alpha for Beta Plus Minus,Price to Free Cash Flow,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
6/29/2006,59.89,9.7525,1.63E+11,8492100,2.5046,-1.3182,60.15,59.1,60.773,44.0763,52.7516,1.77E+11,0.0042,0.7067,59.89,18.1563,0.018,18.6849,3.7126,,,,,,,,
6/30/2006,59.92,9.7511,1.65E+11,10302500,2.5033,-1.2687,60.35,59.91,60.597,45.5459,52.9002,1.77E+11,0.0051,0.707,59.92,18.4659,0.0229,19.0036,3.7759,,,,,,,,
7/3/2006,60.15,9.9371,1.66E+11,3302400,2.4938,-0.8898,60.38,60.02,60.477,58.183,54.0462,1.78E+11,0.0053,0.7066,60.15,18.3722,0.0205,18.9071,3.7567,,,,,,,,
7/5/2006,60.04,9.9385,1.66E+11,6567200,2.4983,-1.071,60.42,59.8,60.328,49.879,53.4033,1.78E+11,0.0058,0.7062,60.04,18.3466,0.0202,18.8808,3.7515,,,,,,,,
7/6/2006,60.52,9.916,1.67E+11,5631800,2.4785,-0.2801,60.69,60.05,60.201,74.0868,55.7779,1.79E+11,0.007,0.7066,60.52,18.3523,0.0199,18.8866,3.7527,,,,,,,,
7/7/2006,60.62,9.9114,1.67E+11,5353100,2.4744,-0.1153,60.87,60.43,60.145,77.4851,56.2583,1.79E+11,0.0099,0.7059,60.62,18.3523,0.0198,18.8866,3.7527,,,,,,,,
7/10/2006,60.95,10.0817,1.68E+11,4732500,2.461,0.4284,60.99,60.7,60.108,86.3475,57.8225,1.80E+11,0.009,0.7082,60.95,18.3693,0.0186,18.9042,3.7562,,,,,,,,
7/11/2006,60.77,10.09,1.68E+11,7102700,2.4683,0.1318,60.99,60.6,60.164,65.313,56.6788,1.80E+11,0.008,0.7075,60.77,18.3864,0.0208,18.9217,3.7597,,,,,,,,
7/12/2006,60.62,10.0973,1.67E+11,6169400,2.4744,-0.1153,60.95,60.5715,60.271,50.0673,55.7286,1.79E+11,0.0088,0.7064,60.62,18.2699,0.0159,18.8019,3.7358,,,,,,,,
7/13/2006,60.27,10.1136,1.66E+11,8022400,2.4888,-0.692,60.76,60.17,60.375,27.5551,53.5612,1.78E+11,0.0074,0.7057,60.27,18.1591,0.0159,18.6878,3.7132,,,,,,,,
7/14/2006,60.46,10.1047,1.67E+11,7532000,2.481,-0.379,61.06,60.15,60.432,46.9709,54.5538,1.79E+11,0.0062,0.706,60.46,18.0284,0.0149,18.5533,3.6865,,,,,,,,
7/17/2006,60.91,10.0952,1.68E+11,7284200,2.4626,0.3625,61.3,60.55,60.531,72.8353,56.8153,1.80E+11,0.005,0.7087,60.91,18.0653,0.0127,18.5914,3.694,,,,,,,,
7/18/2006,60.6,9.9954,1.67E+11,8302900,2.4752,-0.1483,61.02,59.6842,60.576,48.4278,54.8695,1.79E+11,0.0037,0.7084,60.6,18.1932,0.0182,18.7229,3.7201,,,,,,,,
7/19/2006,61.31,9.966,1.69E+11,8465000,2.4466,1.0216,61.49,60.49,60.703,76.0269,58.2568,1.82E+11,0.004,0.709,61.31,18.1335,0.0191,18.6615,3.7079,,,,,,,,
7/20/2006,61.37,9.9633,1.70E+11,5563200,2.4442,1.1204,61.73,61.2,60.788,77.5498,58.5289,1.82E+11,0.0062,0.7087,61.37,18.1278,0.0183,18.6557,3.7068,,,,,,,,
7/21/2006,61.73,9.8678,1.71E+11,8654400,2.4299,1.7136,61.99,61.57,60.899,85.7164,60.1416,1.83E+11,0.0088,0.7056,61.73,18.1051,0.0173,18.6323,3.7021,,,,,,,,
7/24/2006,61.98,9.8011,1.71E+11,7828200,2.4201,2.1256,62,61.63,61.002,89.6414,61.2248,1.84E+11,0.0081,0.7013,61.98,18.1222,0.017,18.6498,3.7056,,,,,,,,
7/25/2006,61.9,9.8045,1.71E+11,6303500,2.4233,1.9937,62,61.49,61.115,79.1954,60.6789,1.83E+11,0.0072,0.7004,61.9,18.2273,0.0203,18.758,3.7271,,,,,,,,
7/26/2006,62.05,9.7059,1.72E+11,5660300,2.4174,2.2409,62.15,61.65,61.258,84.3309,61.3474,1.84E+11,0.0077,0.7004,62.05,18.233,0.0208,18.7638,3.7283,,,,,,,,
7/27/2006,62.56,9.4477,1.73E+11,7658600,2.3977,3.0812,62.57,62.05,61.487,93.0634,63.5282,1.85E+11,0.0101,0.6995,62.56,18.2358,0.0202,18.7668,3.7289,,,,,,,,
7/28/2006,62.92,9.4336,1.74E+11,7786400,2.384,3.6744,63,62.45,61.733,95.6376,64.9714,1.86E+11,0.0099,0.6991,62.92,18.2472,0.0214,18.7785,3.7312,,,,,,,,
7/31/2006,62.55,9.2673,1.73E+11,7094800,2.3981,3.0648,62.88,62.53,61.897,60.8336,62.3483,1.85E+11,0.0106,0.7001,62.55,18.1705,0.0195,18.6995,3.7155,,,,,,,,
8/1/2006,62.68,9.2622,1.73E+11,4556500,2.3931,3.279,62.85,62.29,62.105,67.1366,62.8928,1.86E+11,0.0115,0.6995,62.68,18.2358,0.0219,18.7668,3.7289,,,,,,,,
8/2/2006,63.15,9.2484,1.75E+11,7411500,2.3753,4.0534,63.2,62.88,62.289,82.4516,64.7969,1.87E+11,0.0122,0.7001,63.15,18.3722,0.0221,18.9071,3.7567,,,,,,,,
8/3/2006,63.08,9.2511,1.75E+11,6561400,2.3779,3.938,63.34,63.04,62.46,74.6769,64.2887,1.87E+11,0.0115,0.7004,63.08,18.4148,0.0231,18.951,3.7655,,,,,,,,
8/4/2006,63.53,9.2338,1.76E+11,6653400,2.3611,4.6795,63.7,63.18,62.64,86.7367,66.0592,1.88E+11,0.0124,0.7003,63.53,18.4375,0.022,18.9743,3.7701,,,,,,,,
8/7/2006,63.27,8.9578,1.75E+11,6633200,2.3708,4.2511,63.44,63.16,62.769,61.3961,64.158,1.87E+11,0.0125,0.7005,63.27,17.7918,0.0236,18.5172,3.6843,,,,,,,,
8/8/2006,63.56,8.9765,1.74E+11,5236600,2.36,4.729,63.71,63.4,62.935,74.0704,65.31,1.86E+11,0.0138,0.6998,63.56,17.7918,0.0236,18.5172,3.6843,,,13.9699,4166000128,1.8793,20.7722,24.3428,5.5167
8/9/2006,63.32,8.9851,1.73E+11,6125000,2.3689,4.3335,63.72,63.03,63.062,52.6231,63.561,1.85E+11,0.0134,0.7,63.32,17.8329,0.0314,18.56,3.6928,,,,,,,,
8/10/2006,63.55,8.9762,1.74E+11,5437400,2.3603,4.7125,63.75,63.3,63.161,66.5472,64.5034,1.86E+11,0.0133,0.6994,63.55,17.9452,0.0332,18.6769,3.716,,,,,,,,
8/11/2006,63.47,8.9793,1.74E+11,7514200,2.3633,4.5807,63.79,63.4,63.216,57.6996,63.9087,1.86E+11,0.0094,0.7012,63.47,18.0356,0.0335,18.771,3.7348,,,,,,,,
8/14/2006,63.91,9.0018,1.75E+11,7377300,2.3471,5.3057,64,63.74,63.352,79.8268,65.7076,1.87E+11,0.0105,0.7052,63.91,17.8384,0.0272,18.5657,3.6939,,,,,,,,
8/15/2006,64.41,8.9024,1.76E+11,7193000,2.3288,6.1295,64.48,63.85,63.525,89.3356,67.6056,1.88E+11,0.0105,0.7052,64.41,17.8247,0.0273,18.5514,3.6911,,,,,,,,
8/16/2006,64.61,8.8964,1.77E+11,5706400,2.3216,6.4591,64.75,64.42,63.671,91.6867,68.331,1.89E+11,0.0103,0.705,64.61,17.7726,0.0234,18.4972,3.6803,,,,,,,,
8/17/2006,64.23,8.9104,1.76E+11,8482400,2.3354,5.8329,64.68,64.13,63.786,56.3074,65.4506,1.88E+11,0.0076,0.7044,64.23,17.7973,0.0235,18.5229,3.6854,,,,,,,,
8/18/2006,64.42,8.9034,1.76E+11,7185900,2.3285,6.146,64.6,64.15,63.875,66.1141,66.1878,1.88E+11,0.0075,0.7038,64.42,17.8356,0.0246,18.5628,3.6933,,,,,,,,
8/21/2006,64.27,9.2119,1.76E+11,7325900,2.3339,5.8988,64.58,64.19,63.975,52.2314,65.0541,1.88E+11,0.0075,0.7035,64.27,17.7644,0.0152,18.4887,3.6786,,,,,,,,
8/22/2006,64.16,9.216,1.76E+11,8278900,2.3379,5.7176,64.34,64.03,64.035,42.4307,64.2196,1.88E+11,0.007,0.7035,64.16,17.6932,0.0133,18.4146,3.6638,,,,,,,,
8/23/2006,63.91,9.1326,1.75E+11,6598300,2.3471,5.3057,64.06,63.8,64.094,25.8775,62.3396,1.87E+11,0.0067,0.7037,63.91,17.789,0.0134,18.5144,3.6837,,,,,,,,
8/24/2006,65,9.0935,1.78E+11,10670900,2.3077,7.1017,65.13,64.24,64.239,79.1287,66.7323,1.90E+11,0.0094,0.7047,65,18.1041,0.0187,18.8423,3.7489,,,,,,,,
8/25/2006,64.67,9.1052,1.77E+11,5562600,2.3195,7.1758,64.89,64.61,64.359,59.6632,64.3804,1.89E+11,0.0077,0.7039,64.67,18.6712,0.0312,19.4325,3.8664,,,,,,,,
8/28/2006,64.58,9.3389,1.77E+11,5976100,2.3227,7.0267,64.87,64.55,64.426,54.208,63.7466,1.89E+11,0.0067,0.7034,64.58,18.6411,0.0296,19.4012,3.8601,,,,,,,,
8/29/2006,64.6,9.3382,1.77E+11,5313900,2.322,7.0598,64.65,64.3,64.445,55.5624,63.8284,1.89E+11,0.0066,0.7034,64.6,18.8,0.0257,19.5665,3.893,,,,,,,,
8/30/2006,64.6,9.3385,1.77E+11,4434500,2.322,7.0598,64.8,64.6,64.444,55.5624,63.8284,1.89E+11,0.0066,0.7034,64.6,18.9315,0.0263,19.7034,3.9203,,,,,,,,
8/31/2006,64.66,9.3363,1.77E+11,4614000,2.3198,7.1592,64.74,64.42,64.487,62.9576,64.0888,1.89E+11,0.0054,0.7025,64.66,18.8356,0.0237,19.6036,3.9004,,,,,,,,
9/1/2006,64.72,9.3342,1.77E+11,4693200,2.3177,7.2587,64.89,64.58,64.517,70.3572,64.3542,1.89E+11,0.0062,0.7023,64.72,18.8575,0.0234,19.6264,3.905,,,,,,,,
9/5/2006,64.31,9.7418,1.76E+11,7092400,2.3325,6.5792,64.74,64.21,64.521,23.0865,61.1589,1.88E+11,0.0059,0.706,64.31,18.8548,0.021,19.6236,3.9044,,,,,,,,
9/6/2006,63.92,9.7571,1.75E+11,8510200,2.3467,5.9329,64.25,63.92,64.497,11.787,58.31,1.87E+11,0.0058,0.7062,63.92,18.6767,0.0217,19.4382,3.8675,,,,,,,,
9/7/2006,63.46,9.7736,1.74E+11,7407200,2.3637,5.1705,63.7,63.25,64.452,6.3169,55.174,1.86E+11,0.0049,0.7069,63.46,18.5479,0.0151,19.3042,3.8408,,,,,,,,
9/8/2006,63.59,9.7418,1.74E+11,5914900,2.3589,5.386,63.75,63.38,64.311,21.7173,55.8679,1.86E+11,0.0029,0.7083,63.59,18.4658,0.0128,19.2187,3.8238,,,,,,,,
9/11/2006,64.04,9.8427,1.75E+11,5213400,2.3423,6.1317,64.06,63.59,64.248,57.7662,58.1857,1.87E+11,0.0055,0.7089,64.04,18.4055,0.0128,19.1559,3.8113,,,,,,,,
9/12/2006,63.83,9.8427,1.75E+11,7269400,2.35,5.7837,64.09,63.73,64.173,43.6846,56.747,1.87E+11,0.0039,0.7061,63.83,18.6027,0.0213,19.3612,3.8522,,,,,,,,
9/13/2006,63.81,9.8427,1.75E+11,6285700,2.3507,5.7506,64.03,63.78,64.094,42.2145,56.6091,1.87E+11,0.0034,0.7058,63.81,18.5781,0.0239,19.3356,3.8471,,,,,,,,
9/14/2006,63.73,9.8427,1.74E+11,5393900,2.3537,5.618,63.85,63.42,64.007,35.1227,56.0454,1.86E+11,0.0029,0.7057,63.73,18.7452,0.0139,19.5095,3.8817,,,,,,,,
9/15/2006,63.79,9.8427,1.74E+11,9656600,2.3515,5.7174,64.14,63.6,63.92,45.4351,56.3824,1.87E+11,0.0025,0.7059,63.79,18.8247,0.015,19.5922,3.8981,,,,,,,,
9/18/2006,64.16,9.7922,1.76E+11,6976100,2.3379,6.3306,64.33,63.89,63.864,77.9117,58.4158,1.88E+11,0.0047,0.7044,64.16,18.6274,0.0107,19.3869,3.8573,,,,,,,,
9/19/2006,64.18,9.7922,1.76E+11,5246800,2.3372,6.3637,64.2,63.95,63.851,78.9285,58.524,1.88E+11,0.005,0.7042,64.18,18.1233,0.0064,18.8622,3.7529,,,,,,,,
9/20/2006,64.19,9.7922,1.76E+11,6282100,2.3368,6.3803,64.5,64.14,63.878,79.6318,58.5797,1.88E+11,0.0045,0.7038,64.19,18.1616,0.0045,18.9021,3.7608,,,,,,,,
9/21/2006,64.23,9.7922,1.76E+11,7406900,2.3354,6.4466,64.41,64.05,63.955,83.0301,58.8086,1.88E+11,0.006,0.7039,64.23,18.0658,0.0011,18.8023,3.741,,,,,,,,
9/22/2006,63.96,9.7922,1.75E+11,5604800,2.3452,5.9991,64.11,63.85,63.992,30.8745,56.6233,1.87E+11,0.006,0.703,63.96,18.2356,0.0018,18.9791,3.7762,,,,,,,,
9/25/2006,64.19,9.4001,1.76E+11,5749100,2.3368,6.3803,64.34,64.02,64.007,61.6532,57.9987,1.88E+11,0.0075,0.7017,64.19,18.2301,0.0013,18.9734,3.775,,,,,,,,
9/26/2006,64.67,9.4001,1.77E+11,5895500,2.3195,7.1758,64.72,64.35,64.091,83.9811,60.6896,1.89E+11,0.0081,0.7024,64.67,18.2274,0.0007,18.9706,3.7745,,,,,,,,
9/27/2006,64.82,9.4001,1.77E+11,5524200,2.3141,7.4244,64.87,64.52,64.192,87.4158,61.4873,1.90E+11,0.0085,0.7023,64.82,18.4219,0.0059,19.173,3.8147,,,,,,,,
9/28/2006,64.9,9.4001,1.78E+11,5017600,2.3112,7.557,65.04,64.81,64.309,89.2583,61.9137,1.90E+11,0.0073,0.7012,64.9,18.3589,0.0023,19.1075,3.8017,,,,,,,,
9/29/2006,64.94,9.4001,1.78E+11,7671600,2.3098,7.6233,65.01,64.65,64.424,90.3212,62.1305,1.90E+11,0.0084,0.7015,64.94,18.2466,-0.0005,18.9905,3.7784,,,,,,,,
10/2/2006,65.09,9.1104,1.78E+11,6237000,2.3045,7.8719,65.33,64.94,64.517,93.782,62.9489,1.90E+11,0.0105,0.699,65.09,18.2931,0,19.039,3.7881,,,,,,,,
10/3/2006,65.5,9.1104,1.79E+11,6944900,2.2901,8.5513,65.68,64.9732,64.649,97.4785,65.0826,1.92E+11,0.0115,0.6993,65.5,18.0411,-0.0001,18.7767,3.7359,,,,,,,,
10/4/2006,65.83,9.1104,1.80E+11,6168600,2.2786,9.0982,65.88,65.37,64.813,98.5321,66.6803,1.93E+11,0.0112,0.6987,65.83,17.9863,-0.0002,18.7197,3.7245,,,,,,,,
10/5/2006,65.11,9.1104,1.78E+11,7998700,2.3038,7.905,65.64,65.11,64.901,41.6192,60.4386,1.90E+11,0.0081,0.6981,65.11,18.074,0.0007,18.8109,3.7427,,,,,,,,
10/6/2006,65.06,9.1104,1.78E+11,7135300,2.3056,7.8221,65.16,64.86,65.011,39.2572,60.0349,1.90E+11,0.0079,0.6978,65.06,18.137,0.0007,18.8765,3.7557,,,,,,,,
10/9/2006,64.87,9.0595,1.77E+11,5545700,2.3123,7.5073,65,64.66,65.079,29.6618,58.4988,1.90E+11,0.0145,0.6878,64.87,18.0575,-0.0024,18.7938,3.7393,,,,,,,,
10/10/2006,64.96,9.0595,1.78E+11,6047300,2.3091,7.6564,64.98,64.7,65.108,40.0698,59.0127,1.90E+11,0.0145,0.6878,64.96,18.074,0.0008,18.8109,3.7427,,,,,,,,
10/11/2006,65.1,9.0595,1.78E+11,4855700,2.3041,7.8884,65.2,64.8,65.136,55.451,59.8135,1.90E+11,0.0152,0.6875,65.1,18.1589,-0.0041,18.8993,3.7603,,,,,,,,
10/12/2006,64.84,9.0595,1.77E+11,7902000,2.3134,7.4575,65.29,64.78,65.13,32.3337,57.6497,1.90E+11,0.008,0.6871,64.84,18.1288,-0.005,18.8679,3.754,,,,,,,,
10/13/2006,64.58,9.0595,1.77E+11,6414300,2.3227,7.0267,65.74,64.5,65.094,19.8935,55.5701,1.89E+11,0.0073,0.6865,64.58,18.0904,-0.0056,18.828,3.7461,,,,,,,,
10/16/2006,64.93,8.9043,1.78E+11,6358100,2.3102,7.6067,65.08,64.7,65.078,54.9176,57.6952,1.90E+11,0.0053,0.6869,64.93,18.0986,-0.0079,18.8366,3.7478,,,,,,,,
10/17/2006,66.08,8.9043,1.81E+11,15311500,2.27,9.5126,66.5,65.5,65.136,85.7102,63.6113,1.93E+11,0.0094,0.6844,66.08,18.0685,-0.0109,18.8052,3.7416,,,,,,,,
10/18/2006,68.15,8.9043,1.87E+11,17884700,2.201,12.9431,68.15,66.5,65.368,94.9758,71.1292,1.99E+11,0.0154,0.6854,68.15,18,-0.0054,18.7339,3.7274,,,,,,,,
10/19/2006,68.04,8.9043,1.87E+11,8623600,2.2046,12.7608,68.22,67.84,65.661,90.3082,70.3304,1.99E+11,0.0166,0.683,68.04,17.9671,-0.0059,18.6997,3.7206,,,,,,,,
10/20/2006,68.62,8.9043,1.88E+11,12064900,2.186,13.722,69.14,68.27,66.017,93.0209,72.0429,2.01E+11,0.015,0.6832,68.62,17.937,-0.0068,18.6683,3.7143,,,,,,,,
10/23/2006,69.1,8.7677,1.90E+11,8941600,2.1708,14.5175,69.41,68.33,66.44,94.8206,73.3593,2.02E+11,0.0165,0.6824,69.1,18.1507,-0.0098,18.8907,3.7586,,,,,,,,
10/24/2006,68.75,8.7677,1.89E+11,10853900,2.1818,13.9375,68.86,68.26,66.819,73.9609,70.8431,2.01E+11,0.0154,0.6824,68.75,18.1616,-0.0062,18.9021,3.7608,,,,,,,,
10/25/2006,68.83,8.7677,1.89E+11,7007500,2.1793,14.0701,68.95,68.47,67.192,75.7872,71.0777,2.01E+11,0.0153,0.6823,68.83,18.2466,-0.0165,18.9905,3.7784,,,,,,,,
10/26/2006,68.82,8.7677,1.89E+11,8171900,2.1796,14.0535,68.89,68.08,67.59,74.8035,71.0038,2.01E+11,0.0156,0.6843,68.82,18.3233,-0.0153,19.0704,3.7943,,,,,,,,
10/27/2006,68.17,8.7677,1.87E+11,7946500,2.2004,12.9763,68.64,68,67.949,33.0183,66.3662,1.99E+11,0.0141,0.6848,68.17,18.2,-0.0177,18.9421,3.7688,,,,,,,,
10/30/2006,67.7,8.6313,1.86E+11,9175500,2.2157,12.1973,68.36,67.55,68.226,20.561,63.2748,1.98E+11,0.0109,0.6843,67.7,18.0822,-0.0192,18.8195,3.7444,,,,,,,,
10/31/2006,67.4,8.6313,1.85E+11,11950600,2.2255,11.7002,67.8,67.23,68.358,15.1048,61.3867,1.97E+11,0.01,0.6844,67.4,17.9863,-0.0207,18.7197,3.7245,,,,,,,,
11/1/2006,67.18,8.6313,1.84E+11,11146300,2.2328,11.3356,67.57,66.85,68.261,11.6918,60.0278,1.97E+11,0.0101,0.6843,67.18,17.9836,-0.0237,18.7168,3.724,,,,,,,,
11/2/2006,67.9,8.6313,1.86E+11,10374400,2.2091,12.5288,68,67.09,68.247,58.1321,62.8146,1.99E+11,0.0137,0.6839,67.9,18.0849,-0.0236,18.8223,3.745,,,,,,,,
11/3/2006,67.81,8.6313,1.86E+11,7105700,2.2121,12.3796,68.32,67.76,68.166,52.9145,62.2534,1.98E+11,0.0103,0.6777,67.81,18.1973,-0.0207,18.9392,3.7682,,,,,,,,
11/6/2006,68.42,8.3745,1.88E+11,8041300,2.1923,13.3906,68.49,67.59,68.098,75.3801,64.4787,2.00E+11,0.0112,0.6858,68.42,17.5585,-0.0198,16.7715,3.6454,,,,,,,,
11/7/2006,68.71,8.3745,1.89E+11,10671300,2.1831,13.8712,69.03,68.14,68.094,81.6303,65.4795,2.01E+11,0.0118,0.686,68.71,17.5585,-0.0198,16.7715,3.6454,,,13.5897,3504000000,0.6678,15.8456,25.0134,14.3604
11/8/2006,67.99,8.3745,1.85E+11,14318400,2.2062,12.678,68.3,67.41,68.01,41.9599,61.0607,1.97E+11,0.0095,0.6854,67.99,17.6596,-0.0168,16.868,3.6664,,,,,,,,
11/9/2006,66.15,8.3745,1.79E+11,16575100,2.2676,9.6286,67.74,65.82,67.743,14.6564,51.8165,1.92E+11,0.0044,0.6897,66.15,17.8803,-0.0112,17.0789,3.7122,,,,,,,,
11/10/2006,66.29,8.3745,1.80E+11,10113300,2.2628,9.8606,66.31,65.475,67.555,20.5563,52.3839,1.92E+11,0.0036,0.69,66.29,17.7181,-0.0123,16.9239,3.6786,,,,,,,,
11/13/2006,65.94,8.0175,1.79E+11,8795600,2.2748,9.2805,66.78,65.75,67.379,16.3243,50.8356,1.91E+11,0.0008,0.6883,65.94,17.6888,-0.0142,16.896,3.6725,,,,,,,,
11/14/2006,66.56,8.0175,1.81E+11,11365200,2.2536,10.3081,66.73,65.31,67.295,45.9121,53.3616,1.93E+11,0.002,0.6894,66.56,17.6223,-0.0158,16.8325,3.6587,-0.0066,,,,,,,
11/15/2006,66.54,8.0175,1.81E+11,7773700,2.2543,10.2749,67,66.42,67.231,45.1397,53.2703,1.93E+11,0.0016,0.6893,66.54,17.5931,-0.0167,16.8045,3.6526,,,,,,,,
11/16/2006,66.53,8.0175,1.81E+11,10445800,2.2546,10.2583,66.64,65.81,67.094,44.5773,53.2231,1.93E+11,0.001,0.6896,66.53,17.7473,-0.016,16.9519,3.6846,,,,,,,,
11/17/2006,67.24,8.0175,1.83E+11,11117600,2.2308,11.435,67.6,66.55,67.037,76.1818,56.0766,1.95E+11,0.004,0.6907,67.24,17.7234,-0.0181,16.929,3.6797,,,,,,,,
11/20/2006,67.01,7.6056,1.82E+11,7973900,2.2385,11.0538,67.6,66.83,66.896,59.6526,54.9533,1.94E+11,0.0031,0.689,67.01,17.6968,-0.0206,16.9036,3.6741,,,,,,,,
11/21/2006,66.6,7.6056,1.81E+11,8304700,2.2523,10.3743,67.06,66.31,66.685,37.751,52.9954,1.93E+11,0.0018,0.6887,66.6,17.7846,-0.0181,16.9874,3.6924,0.023,,,,,,,
11/22/2006,66.77,7.6056,1.81E+11,6992300,2.2465,10.6561,66.95,66.49,66.563,49.3231,53.7029,1.94E+11,0.002,0.6888,66.77,18.008,-0.0138,17.2008,3.7387,,,,,,,,
